LEGAL_ENTITY_CODE,PARAM_ID,KEY1,VALUE1,VALUE2,VALID_FROM,VALID_TO,DESCRIPTION,MAKER_ID,MAKER_DT,AUTH_ID,AUTH_DT,STATUS,VALUE3,VALUE4,report_dt
PVFC,APS161,85,1157,MFS - Engineering Queue,,,,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,,MARKETING_BRANCH,431,(431) ABO-ELABBAS ISLAMI,,,,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,,LOADIMGCATEGORY,5,PROPERTY INSURANCE,,,BD001,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,,LOADIMGCATEGORY,6,SIGNED APPLICATION FORM,,,BD001,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,,LOADIMGCATEGORY,7,MORTGAGE AGREEMENT FORM,,,BD001,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,,LOADIMGCATEGORY,8,PROPERTY EVALUATION,,,BD001,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,,LOADIMGCATEGORY,9,OTHERS,,,BD001,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,,RELATION_SHIP,FAT,FATHER,,,BD021,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,,RELATION_SHIP,MOT,MOTHER,,,BD021,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,,RELATION_SHIP,SIS,SISTER,,,BD021,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,,RELATION_SHIP,BRO,BROTHER,,,BD021,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,APS134,RELATION_SHIP,KIN,FRIEND,,,,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,,MARKETING_BRANCH,432,(432) EL-DEKHILA,,,,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,APS135,RELATION_SHIP,SELF,SELF,,,,SYSTEM,29AUG2014:00:00:00,SYSTEM,29AUG2014:00:00:00,O,,,16DEC2020
PVFC,,DE_INSURANCE_ACCNO,1234567891235,INSURANCE ACCOUNT,,,BD001,SCRIPT,22JAN2015:00:00:00,,,,,,16DEC2020
PVFC,0,ALL_LOAN_PUR,00,Others,,,BD001,SCRIPT,05JAN2015:00:00:00,,,,,,16DEC2020
PVFC,APS,BUSINESS_SEGMENT,B001,B001,,,,PHASE2B,10JUL2010:00:00:00,SCRIPTS,,O,,,16DEC2020
